"Aron (guna-m.p)     ","05.30E","077.19E","24.23N"
"Aron (gwallior)     ","05.30E","077.56E","25.57N"
"Arpalli             ","05.30E","079.58E","19.45N"
"Arrah               ","05.30E","084.40E","25.34N"
"Arran i.            ","00.00W","005.15W","55.35N"
"Arsikere  (kr)      ","05.30E","076.17E","13.19N"
"Aruku               ","05.30E","082.57E","18.18N"
"Aruppukkottai  (tn) ","05.30E","078.08E","09.31N"
"Arvi                ","05.30E","078.18E","21.00N"
"Arwal               ","05.30E","084.41E","25.16N"
"Asaltagunj          ","05.30E","079.53E","26.41N"
"Asansol             ","05.30E","087.01E","23.42N"
"Asansol (bihar)     ","05.30E","087.17E","24.14N"
"Asansol (w.b)       ","05.30E","087.00E","23.40N"
"Asargaon            ","05.30E","086.41E","25.09N"
"Ashkuman            ","05.30E","073.50E","36.35N"
"Ashta (balaghat-m.p)","05.30E","079.56E","21.57N"
"Ashta (m.r)         ","05.30E","074.34E","17.03N"
"Ashta (sehore-m.p)  ","05.30E","076.47E","23.00N"
"Ashti (bir-m.r)     ","05.30E","075.14E","18.50N"
"Ashti (wardha-m.r)  ","05.30E","078.15E","21.13N"
"Asigarh             ","05.30E","076.22E","21.31N"
"Asind               ","05.30E","072.41E","25.42N"
"Asir (saudi arabia) ","03.00E","042.00E","20.00N"
"Asiwan              ","05.30E","080.26E","26.48N"
"Aska                ","05.30E","084.41E","19.38N"
"Askole              ","05.30E","075.30E","35.39N"
"Askot               ","05.30E","080.20E","29.40N"
"Asna                ","05.30E","083.31E","25.21N"
"Asna hara           ","05.30E","082.41E","27.06N"
"Asonli              ","05.30E","095.35E","28.44N"
"Asop                ","05.30E","073.41E","26.48N"
"Asothar             ","05.30E","080.54E","25.45N"
"Aspur               ","05.30E","074.06E","23.58N"
"Assadduma (sl)      ","05.30E","080.03E","06.38N"
"Assaye              ","05.30E","075.59E","20.15N"
"Assundi             ","05.30E","080.20E","19.52N"
"Asterabad (iran)    ","03.30E","045.30E","36.52N"
"Astor               ","05.30E","074.52E","35.21N"
"Astrakhan           ","03.00E","048.04E","46.15N"
"Atabage (sl)        ","05.30E","080.37E","07.04N"
"Atarra              ","05.30E","080.34E","25.17N"
"Atbaikhera          ","05.30E","077.48E","24.26N"
"Ateha               ","05.30E","081.38E","26.06N"
"Ater                ","05.30E","078.39E","26.45N"
"Atest               ","05.30E","000.00E","00.00N"
"Athens (greece)     ","02.00E","023.52E","37.54N"
"Athgarh             ","05.30E","085.41E","20.31N"
"Athni  (kr)         ","05.30E","075.06E","16.44N"
"Athtanagalle (sl)   ","05.30E","080.05E","06.34N"
"Aththanagalle (sl)  ","05.30E","080.08E","07.02N"
"Aththidiya (sl)     ","05.30E","080.08E","07.02N"
"Atmakur (ap)        ","05.30E","079.40E","14.37N"
"Atmakur (kurnool-ap)","05.30E","078.43E","15.56N"
"Atner (m.p)         ","05.30E","077.59E","21.40N"
"Atnur (karnataka)   ","05.30E","076.27E","17.16N"
"Atpadi              ","05.30E","075.02E","17.28N"
"Atrampur            ","05.30E","081.45E","25.34N"
"Atrauli (aligarh)   ","05.30E","076.16E","28.02N"
"Atrauli (faizabad)  ","05.30E","080.40E","27.10N"
"Attar               ","05.30E","076.14E","22.01N"
"Attingal            ","05.30E","076.51E","08.42N"
"Attur  (tn)         ","05.30E","078.39E","11.36N"
"Atur (madurai)      ","05.30E","077.52E","10.19N"
"Atur (salem)        ","05.30E","078.35E","11.36N"
"Auckland            ","12.00E","174.42E","36.52S"
"Auguruwathota (sl)  ","05.30E","079.55E","07.07N"
"Aul                 ","05.30E","086.41E","20.40N"
"Auldan              ","05.30E","079.02E","25.24N"
"Aundh (m.r)         ","05.30E","074.16E","17.33N"
"Aundi (u.p)         ","05.30E","083.58E","25.48N"
"Aunhi (m.p)         ","05.30E","080.32E","20.13N"
"Aunrai (u.p)        ","05.30E","082.34E","25.16N"
"Aurad               ","05.30E","077.27E","18.17N"
"Auraiya             ","05.30E","079.13E","26.27N"
"Aurangabad (bihar)  ","05.30E","084.25E","24.45N"
"Aurangabad (u.p)    ","05.30E","077.57E","28.30N"
"Aurangabad maharash.","05.30E","075.23E","19.53N"
"Aurangabad(shaj.-u.p","05.30E","080.22E","27.47N"
"Avanashi  (tn)      ","05.30E","077.22E","11.12N"
"Avanigedda          ","05.30E","080.59E","16.03N"
"Awagarh             ","05.30E","078.29E","27.26N"
"Awan                ","05.30E","077.08E","24.24N"
"Awar                ","05.30E","075.56E","24.06N"
"Awissawella (sl)    ","05.30E","079.53E","06.46N"
"Ayodhya             ","05.30E","082.12E","26.47N"
"Ayr                 ","00.00W","004.39W","55.28N"
"Azadpur             ","05.30E","077.11E","28.42N"
"Azamgarh            ","05.30E","083.10E","26.03N"
"Azamnagar           ","05.30E","087.50E","25.33N"
"Azerbaijan          ","03.00E","047.00E","40.00N"
"Azhikal             ","05.30E","075.21E","11.59N"
"Azhimganj           ","05.30E","088.14E","24.14N"
"Babaganj            ","05.30E","081.34E","27.57N"
"Babai (m.p)         ","05.30E","077.59E","22.44N"
"Babai (u.p)         ","05.30E","079.29E","26.10N"
"Baberu              ","05.30E","080.42E","25.32N"
"Babhar              ","05.30E","071.42E","24.08N"
"Babugarh            ","05.30E","077.51E","28.43N"
"Babul (iran)        ","03.30E","052.49E","36.30N"
"Babusar pass        ","05.30E","074.04E","35.10N"
"Bachharon           ","05.30E","078.14E","28.54N"
"Bachhon             ","05.30E","080.06E","25.00N"
"Bachhrawan          ","05.30E","081.07E","26.27N"
"Badagaon            ","05.30E","077.32E","29.42N"
"Badagara            ","05.30E","075.34E","11.36N"
"Badamgarh           ","05.30E","085.22E","21.50N"
"Badami  (kr)        ","05.30E","075.45E","15.55N"
"Badampahar          ","05.30E","086.06E","22.04N"
"Badanah (saudi arab)","03.00E","041.30E","30.58N"
"Badausa             ","05.30E","080.38E","25.18N"
"Badhapur            ","05.30E","085.07E","24.54N"
"Badhera             ","05.30E","077.47E","20.50N"
"Badlapur            ","05.30E","082.27E","25.54N"
"Badli               ","05.30E","077.06E","28.47N"
"Badnawar            ","05.30E","075.16E","23.01N"
"Badnor              ","05.30E","074.18E","25.47N"
"Bado sarai          ","05.30E","081.27E","27.01N"
"Badpur              ","05.30E","086.43E","22.59N"
"Badrinath (u.p)     ","05.30E","079.32E","30.44N"
"Badrinath mount     ","05.30E","079.16E","30.44N"
"Badshahibagh        ","05.30E","077.39E","30.18N"
